,Lemma,target_canonical,target_relemmatized,emlap_instances_N,noscemus_instances_N,cc_instances_N,grela_instances_N
162,Acordina,acordina,acordina,0,2,0,2
160,Acetum radicatum nonnullis,acetum radicatum nonnullis,acetum radico nonnullus,0,1,0,1
2573,Synopis pontica,synopis pontica,synopa ponticus,0,1,0,1
2572,Symar,symar,symar,0,4,0,4
2569,Sylo totus mundus,sylo totus mundus,sylus totus mundus,0,1,0,1
2568,Sydia,sydia,sydia,0,5,0,5
2567,Supremi panes,supremi panes,supremus panis,0,3,0,3
840,Caput fodinarum aduersum,caput fodinarum aduersum,caput fodina aduersus,0,2,0,2
2580,Tabergeta,tabergeta,tabergeta,0,2,0,2
2578,Taballa,taballa,taballa,0,1,0,1
164,Acsuo,acsuo,acsuo,0,2,0,2
191,Adram,adram,adram,0,5,1,6
190,Ados,ados,ados,0,20,1,21
2509,Squilla fixa,squilla fixa,squilla figo,0,2,0,2
828,Canze,canze,canze,0,2,0,2
2506,Sputa maris,sputa maris,sputo mare,0,3,0,3
814,Canales Cuniculi,canales cuniculi,canalis cuniculus,0,5,0,5
2502,Spontum,spontum,spontum,0,4,0,4
2517,Stannum procul,stannum procul,stannum procul,0,1,0,1
2516,Stannum pauper,stannum pauper,stannum pauper,0,9,0,9
2515,Stannum mediocre,stannum mediocre,stannum mediocris,0,4,0,4
2514,Stannum diues,stannum diues,stannum diues,0,4,0,4
236,Akon,akon,akon,0,18,34,52
2512,Stac vel stoac,stac uel stoac,stac uel stoacs,0,3,0,3
815,Canales recludere,canales recludere,canalis recludo,0,5,0,5
2510,Squillinum aziza,squillinum aziza,squillinus azizo,0,1,0,1
2525,Stilbus,stilbus,stilbus,0,4,1,5
817,Canalis caput,canalis caput,canalis caput,0,6,1,7
2522,Stercorum ezeff,stercorum ezeff,stercus ezeff,0,2,0,2
2519,Stella occidens,stella occidens,stella occido,0,16,9,25
2518,Starmar,starmar,starmar,0,3,0,3
2467,Solelasar,solelasar,solelasar,0,2,0,2
819,Canalisculus,canalisculus,canalisculus,0,1,0,1
2463,Sol,sol,sol,0,0,0,0
2513,Stakti,stakti,stakti,0,2,0,2
235,Akibot,akibot,akibot,0,2,0,2
234,Aiegen,aiegen,aiegen,0,1,0,1
233,Aiarazath,aiarazath,aiarazath,0,1,0,1
232,Ahusal,ahusal,ahusal,0,1,0,1
231,Ahius,ahius,ahius,0,3,17,20
823,Canfora,canfora,canfora,0,11,0,11
244,Alahic,alahic,alahic,0,1,0,1
243,Alahatib,alahatib,alahatib,0,2,0,2
242,Alahabar,alahabar,alahabar,0,3,0,3
241,Alafreg,alafreg,alafreg,0,1,0,1
826,Cantacon,cantacon,cantacon,0,2,0,2
192,Adraragi,adraragi,adraragi,0,2,0,2
238,Alaboni,alaboni,alaboni,0,2,0,2
253,Alberick,alberick,alberick,0,1,0,1
251,Albaras,albaras,albaras,0,27,0,27
250,Albanum,albanum,albanum,0,56,311,367
827,Canutum,canutum,canutum,0,16,19,35
248,Alaurat,alaurat,alaurat,0,3,0,3
247,Alatan,alatan,alatan,0,4,1,5
246,Alasalet,alasalet,alasalet,0,2,0,2
