,Lemma,target_canonical,target_relemmatized,emlap_instances_N,noscemus_instances_N,cc_instances_N,grela_instances_N
1545,Ignis Persicus,ignis persicus,ignis persicus,28,15,0,43
1229,Epatum,epatum,epatum,28,18,29,75
1985,Nymphae,nymphae,nymphae,28,345,1149,1522
1187,Eclipsis,eclipsis,eclipsis,28,6501,978,7507
701,Boreas,boreas,boreas,28,1309,1611,2948
297,Ales,ales,ales,28,409,2059,2496
259,Albot,albot,albot,27,3,1,31
2029,Orbiculi,orbiculi,orbiculi,27,85,35,147
989,Coeruleum,coeruleum,coeruleum,27,224,26,277
2139,Praeseruatiua,praeseruatiua,praeseruatiua,27,18,8,53
558,Asser,asser,asser,27,477,464,968
77,Incineratio,incineratio,incineratio,26,40,37,103
2730,Vernice,uernice,uernice,26,43,4,73
2675,Tripes,tripes,tripes,26,34,109,169
1051,Crater,crater,crater,26,523,878,1427
507,Archaeus,archaeus,archaeus,26,30,3,59
2233,Remanere,remanere,remanere,26,135,3046,3207
604,Aurum viuum,aurum uiuum,aurum uiuus,26,4,29,59
1953,Napellus,napellus,napellus,26,315,14,355
86,Lithargyrum,lithargyrum,lithargyrum,25,57,10,92
1640,Lacerta,lacerta,lacerta,25,419,896,1340
447,Aniadus,aniadus,aniadus,25,7,0,32
1373,Fossores,fossores,fossores,25,170,143,338
1531,Iacens,iacens,iacens,25,108,622,755
934,Chymus,chymus,chymus,25,145,17,187
997,Collectam,collectam,collectam,25,161,1168,1354
2191,Quartatio,quartatio,quartatio,25,15,8,48
1283,Femina,femina,femina,24,1149,22733,23906
1285,Ferramenta,ferramenta,ferramenta,24,117,340,481
2363,Saxifragus,saxifragus,saxifragus,24,229,5,258
2115,Plumbago,plumbago,plumbago,24,170,14,208
574,Atramentorum,atramentorum,atramentorum,24,9,0,33
2239,Resina pini,resina pini,resina pinus,24,28,3,55
1496,Halinitrum,halinitrum,halinitrum,24,120,24,168
1535,Idiotae,idiotae,idiotae,24,31,462,517
936,Cibatio,cibatio,cibatio,24,35,92,151
736,Cacabus,cacabus,cacabus,23,66,217,306
1382,Fumigatio,fumigatio,fumigatio,23,40,22,85
1736,Limpidum,limpidum,limpidum,23,78,83,184
1844,Materia metallica,materia metallica,materia metallicus,23,73,0,96
1014,Confortatiua,confortatiua,confortatiua,23,16,16,55
2098,Phthisis,phthisis,phthisis,23,1134,115,1272
1927,Morphea,morphea,morphea,23,42,54,119
1019,Conglutinatio,conglutinatio,conglutinatio,23,30,145,198
2279,Sal albus,sal albus,sal albus,23,17,4,44
1686,Lapis calaminaris,lapis calaminaris,lapis calaminar,22,44,3,69
970,Clyssus,clyssus,clyssus,22,16,0,38
1139,Diaphanum,diaphanum,diaphanum,22,303,359,684
134,Abacus,abacus,abacus,22,218,211,451
2333,Sandaraca,sandaraca,sandaraca,22,145,62,229
2310,Sal resolutum,sal resolutum,sal resoluo,22,16,0,38
2001,Oleum benedictum,oleum benedictum,oleum benedictus,22,5,19,46
2375,Scobes,scobes,scobes,22,34,19,75
2128,Pompholyx,pompholyx,pompholyx,22,130,12,164
832,Capricornus,capricornus,capricornus,22,1486,1034,2542
120,Spatha,spatha,spatha,22,174,239,435
629,Azoch,azoch,azoch,22,11,0,33
73,Guma,guma,guma,22,27,3,52
2465,Solater,solater,solater,22,51,3,76
706,Botus,botus,botus,21,101,9,131
22,Iaspis,iaspis,iaspis,21,269,399,689
1711,Leffas,leffas,leffas,21,4,0,25
991,Cohobatio,cohobatio,cohobatio,21,24,3,48
2066,Pars cum parte,pars cum parte,pars cum pars,21,11,29,61
2579,Tabellae,tabellae,tabellae,21,288,257,566
1022,Consolidatiuum,consolidatiuum,consolidatiuum,21,10,4,35
158,Acetum philosophorum,acetum philosophorum,acetum philosophus,21,14,0,35
1573,Incubus,incubus,incubus,20,92,61,173
1820,Marcellus,marcellus,marcellus,20,1678,3444,5142
2635,Thucia,thucia,thucia,20,2,0,22
704,Botin,botin,botin,20,19,1,40
2521,Stellio,stellio,stellio,20,426,261,707
2033,Orexis,orexis,orexis,20,42,99,161
2150,Prolectatio,prolectatio,prolectatio,20,5,1,26
0,Naphtha,naphtha,naphtha,20,243,48,311
1602,Kal,kal,kal,20,56,16989,17065
1965,Necromantia,necromantia,necromantia,20,37,101,158
2431,Seruus fugitiuus,seruus fugitiuus,seruus fugitiuus,20,13,90,123
426,Amethystus,amethystus,amethystus,20,209,180,409
1873,Mensis philosophicus,mensis philosophicus,mensis philosophicus,20,4,3,27
2230,Redux,redux,redux,19,370,1916,2305
2612,Terra auri,terra auri,terra aurum,19,11,45,75
1883,Mercurius mineralium,mercurius mineralium,mercurius mineralis,19,5,0,24
673,Berillus,berillus,berillus,19,71,147,237
1284,Fermentum album,fermentum album,fermentum albus,19,7,0,26
1280,Fel vitri,fel uitri,fel uitrum,19,17,0,36
1447,Gigantes,gigantes,gigantes,19,163,1180,1362
21,Haematites,haematites,haematites,19,135,34,188
177,Adech,adech,adech,19,2,0,21
738,Cachimia,cachimia,cachimia,19,5,0,24
988,Coenum,coenum,coenum,19,210,481,710
1330,Fluores,fluores,fluores,18,160,51,229
2689,Turpethum,turpethum,turpethum,18,19,1,38
2559,Sulphuris aqua,sulphuris aqua,sulphur aqua,18,8,0,26
2504,Spuma maris,spuma maris,spuma mare,18,48,37,103
1989,Obrizum,obrizum,obrizum,18,8,120,146
1682,Lapis animalis,lapis animalis,lapis animal,18,11,24,53
2305,Sal panis,sal panis,sal panis,18,14,12,44
2099,Physiognomia,physiognomia,physiognomia,18,122,9,149
2829,Aeruginatio,aeruginatio,aeruginatio,18,1,0,19
784,Calor fimi,calor fimi,calor fimus,17,5,0,22
2677,Tritorium,tritorium,tritorium,17,7,3,27
2153,Proscriptio,proscriptio,proscriptio,17,34,1039,1090
852,Casa,casa,casa,17,689,6257,6963
1163,Dracunculus,dracunculus,dracunculus,17,433,14,464
104,Occidens,occidens,occidens,17,277,5196,5490
836,Capsae,capsae,capsae,17,48,99,164
1697,Lapis non Lapis,lapis non lapis,lapis non lapis,17,13,4,34
1937,Mundificatiua,mundificatiua,mundificatiua,17,11,2,30
2075,Pelecanus,pelecanus,pelecanus,16,105,2,123
1750,Liquor salis,liquor salis,liquor sal,16,7,0,23
1156,Diuinatio,diuinatio,diuinatio,16,499,2542,3057
1646,Laeuigatio,laeuigatio,laeuigatio,16,14,7,37
1894,Metas,metas,metas,16,207,1642,1865
2478,Sparallium,sparallium,sparallium,16,4,0,20
2571,Syluestres,syluestres,syluestres,16,539,105,660
1134,Destillatio per descensum,destillatio per descensum,destillatio per descensus,16,8,1,25
1908,Misy,misy,misy,16,223,82,321
1189,Edes,edes,edes,16,69,643,728
2555,Sulphur incombustibile,sulphur incombustibile,sulphur incombustibilis,16,5,0,21
1582,Inhumare,inhumare,inhumare,15,1,4,20
807,Calx Solis,calx solis,calx soli,15,7,0,22
801,Calx Lunae,calx lunae,calx lunus,15,4,0,19
1589,Ios,ios,ios,15,347,576,938
2680,Trulla,trulla,trulla,15,44,236,295
76,Iliaster,iliaster,iliaster,15,28,0,43
1062,Crustae,crustae,crustae,15,162,86,263
258,Albor,albor,albor,15,128,161,304
1357,Forfex,forfex,forfex,15,174,248,437
489,Aqua rubicunda,aqua rubicunda,aqua rubicundus,15,7,2,24
446,Aniadum,aniadum,aniadum,15,4,0,19
1326,Flos cheiri,flos cheiri,flos cheir,15,9,0,24
2184,Pyromantia,pyromantia,pyromantia,15,11,16,42
748,Calcantum,calcantum,calcantum,15,6,7,28
1762,Lot,lot,lot,15,82,2129,2226
2609,Tereniabin,tereniabin,tereniabin,15,29,0,44
783,Calor digerens,calor digerens,calor digero,15,13,35,63
1716,Lemures,lemures,lemures,15,59,156,230
1028,Contus,contus,contus,15,870,955,1840
2388,Secare,secare,secare,15,459,563,1037
1253,Excoquere,excoquere,excoquere,14,32,46,92
1226,Entali,entali,entali,14,9,0,23
1327,Flos salis,flos salis,flos sal,14,58,17,89
958,Cist,cist,cist,14,32,32,78
586,Auis Hermetis,auis hermetis,auis hermes,14,5,0,19
1076,Cuperosa,cuperosa,cuperosa,14,12,2,28
82,Lapis Iudaicus,lapis iudaicus,lapis iudaicus,14,23,2,39
339,Alma,alma,alma,14,343,2455,2812
1486,Gutta rosacea,gutta rosacea,gutta rosaceus,14,29,0,43
1995,Ocra,ocra,ocra,14,18,4,36
477,Aqua foetida,aqua foetida,aqua foetidus,14,10,2,26
1662,Lapides Iudaici,lapides iudaici,lapis iudaicus,14,24,2,40
78,Instrumentum ferreum,instrumentum ferreum,instrumentum ferreus,14,36,29,79
773,Calendulae,calendulae,calendulae,13,42,2,57
1470,Granulatio,granulatio,granulatio,13,4,0,17
100,Molybdaena,molybdaena,molybdaena,13,109,11,133
2781,Vzifur,uzifur,uzifur,13,3,2,18
117,Rutabulum,rutabulum,rutabulum,13,16,16,45
513,Ardentia,ardentia,ardentia,13,43,256,312
385,Alumen album,alumen album,alumen albus,13,6,0,19
2530,Stiptica,stiptica,stiptica,13,79,55,147
55,Catillus cinereus,catillus cinereus,catillus cinereus,13,35,0,48
1024,Constrictiua,constrictiua,constrictiua,13,25,50,88
755,Calcinatio corporum,calcinatio corporum,calcinatio corpus,13,5,0,18
1852,Mechanicae artes,mechanicae artes,mechanicus ars,12,21,50,83
252,Albatio,albatio,albatio,12,11,9,32
782,Calor cinerum,calor cinerum,calor cinis,12,13,3,28
1636,Labor Sophiae,labor sophiae,labor sophia,12,2,0,14
1438,Geomantia,geomantia,geomantia,12,30,18,60
2005,Oleum fixum,oleum fixum,oleum figo,12,5,0,17
1841,Mater metallorum,mater metallorum,mater metallum,12,9,0,21
1301,Fida,fida,fida,12,160,1642,1814
2000,Oleum ardens,oleum ardens,oleum ardeo,12,6,12,30
397,Alumen lamenum,alumen lamenum,alumen lamenus,12,2,0,14
437,Anatron,anatron,anatron,12,13,0,25
2344,Saphirus,saphirus,saphirus,12,78,34,124
2774,Vomitiuum,uomitiuum,uomitiuum,12,16,0,28
2452,Sinopis,sinopis,sinopis,12,29,64,105
522,Ares,ares,ares,11,322,254,587
740,Cacia ferrea,cacia ferrea,cacia ferreus,11,12,0,23
2642,Tigna,tigna,tigna,11,241,357,609
2620,Terra foetida,terra foetida,terra foetidus,11,11,0,22
707,Botus barbatus,botus barbatus,botus barbatus,11,8,0,19
506,Arcanum specificum,arcanum specificum,arcanus specificus,11,6,0,17
590,Auriga,auriga,auriga,11,427,1655,2093
2330,Samech,samech,samech,11,32,274,317
2324,Salinae,salinae,salinae,11,187,66,264
719,Brunus,brunus,brunus,11,130,879,1020
1043,Corpus inuisibile,corpus inuisibile,corpus inuisibilis,11,6,17,34
1248,Euestrum,euestrum,euestrum,11,4,0,15
2362,Saxifragium,saxifragium,saxifragium,11,45,2,58
2283,Sal amarum,sal amarum,sal amarus,11,21,12,44
2249,Rhaponticum,rhaponticum,rhaponticum,11,93,4,108
2782,Xenechdon,xenechdon,xenechdon,11,3,0,14
2765,Vndae,undae,undae,11,259,871,1141
1528,Hydrophorbia,hydrophorbia,hydrophorbia,11,3,0,14
217,Aethnici,aethnici,aethnici,11,4,15,30
109,Plumbum cinereum,plumbum cinereum,plumbum cinereus,11,37,1,49
1508,Heliotropium,heliotropium,heliotropium,11,357,55,423
2674,Trigonum,trigonum,trigonum,11,215,479,705
484,Aqua nitri,aqua nitri,aqua nitrum,11,5,5,21
1476,Grauus,grauus,grauus,10,1257,2438,3705
2662,Tophi,tophi,tophi,10,73,6,89
888,Celsa,celsa,celsa,10,158,2104,2272
2660,Topasius,topasius,topasius,10,48,18,76
969,Clissus,clissus,clissus,10,6,0,16
1448,Gilla,gilla,gilla,10,38,16,64
505,Arcanum res,arcanum res,arcanus res,10,8,26,44
1748,Liquor mercurii,liquor mercurii,liquor mercurius,10,9,0,19
1247,Euentilatio,euentilatio,euentilatio,10,5,4,19
2079,Pentacula,pentacula,pentacula,10,10,0,20
1041,Corpora supercoelestia,corpora supercoelestia,corpus supercoelestia,10,2,5,17
277,Alcohol vini,alcohol uini,alcohol uinum,10,22,0,32
1026,Contorsio,contorsio,contorsio,10,90,19,119
816,Canaliculus,canaliculus,canaliculus,10,300,25,335
716,Brassatella,brassatella,brassatella,9,9,0,18
1170,Duenech,duenech,duenech,9,6,0,15
2152,Proprietarius,proprietarius,proprietarius,9,11,209,229
408,Alumen scissum,alumen scissum,alumen scissus,9,20,19,48
1203,Elephas,elephas,elephas,9,373,332,714
676,Beryllus,beryllus,beryllus,9,150,178,337
859,Castellum,castellum,castellum,9,949,9583,10541
79,Kali,kali,kali,9,344,24,377
308,Alga,alga,alga,9,458,383,850
2244,Restis,restis,restis,9,284,652,945
941,Cinefactio,cinefactio,cinefactio,9,6,5,20
2570,Sylphes,sylphes,sylphes,9,4,0,13
2828,Achates,achates,achates,9,283,301,593
517,Areae,areae,areae,9,641,602,1252
1914,Molae,molae,molae,9,179,333,521
1969,Nigromantia,nigromantia,nigromantia,9,6,23,38
457,Anthera,anthera,anthera,9,496,90,595
1358,Foricula,foricula,foricula,9,22,0,31
1274,Fauonius,fauonius,fauonius,9,183,497,689
2591,Taro,taro,taro,9,106,22,137
2560,Suma,suma,suma,9,153,29,191
662,Batillum,batillum,batillum,9,90,41,140
2652,Tin,tin,tin,9,517,250,776
2491,Spinę,spine,spinę,9,97,107,213
2053,Ouum philosophicum,ouum philosophicum,ouum philosophicus,9,2,2,13
932,Chrysolithum,chrysolithum,chrysolithum,8,15,18,41
2103,Pilosella,pilosella,pilosella,8,117,6,131
2543,Subsolanus,subsolanus,subsolanus,8,82,88,178
37,Vectis,uectis,uectis,8,1057,2922,3987
1593,Iua,iua,iua,8,99,107,214
342,Almagra,almagra,almagra,8,8,0,16
480,Aqua lilii,aqua lilii,aqua lilium,8,13,2,23
967,Clepsydria,clepsydria,clepsydria,8,4,0,12
2404,Sel,sel,sel,8,373,83,464
2582,Tabula ferrea,tabula ferrea,tabula ferreus,8,7,6,21
1387,Fumus rubeus,fumus rubeus,fumus rubeus,8,6,0,14
1784,Macula oculi,macula oculi,macula oculus,8,34,5,47
1696,Lapis Magnetis,lapis magnetis,lapis magnes,8,37,15,60
1915,Molere,molere,molere,8,21,124,153
2446,Silo,silo,silo,8,75,747,830
1251,Eurus,eurus,eurus,8,530,1322,1860
1980,Nostoch,nostoch,nostoch,8,19,0,27
2318,Sal vnum,sal unum,sal unus,8,3,10,21
804,Calx Martis,calx martis,calx mars,7,6,0,13
47,Balneum roris,balneum roris,balneum ros,7,10,9,26
17,Dragantum,dragantum,dragantum,7,19,3,29
843,Carbones coeli,carbones coeli,carbo coelum,7,3,0,10
2255,Rosea,rosea,rosea,7,116,191,314
2159,Pulsatiles,pulsatiles,pulsatiles,7,25,13,45
2172,Putris,putris,putris,7,78,250,335
2135,Potabilia,potabilia,potabilia,7,9,2,18
899,Cerare,cerare,cerare,7,6,2,15
2762,Vmbratiles,umbratiles,umbratiles,7,15,43,65
887,Cedria,cedria,cedria,7,158,77,242
573,Atincar,atincar,atincar,7,8,0,15
798,Calx fixa,calx fixa,calx figo,7,13,0,20
2369,Scaiolae,scaiolae,scaiolae,7,20,2,29
1925,Moro,moro,moro,7,239,368,614
398,Alumen liquidum,alumen liquidum,alumen liquidus,7,31,10,48
2468,Solsequium,solsequium,solsequium,7,38,6,51
2323,Salgemma,salgemma,salgemma,7,9,7,23
990,Cohob,cohob,cohob,7,3,0,10
2587,Talk,talk,talk,7,35,11,53
2234,Repercussiua,repercussiua,repercussiua,7,17,5,29
1257,Exorcista,exorcista,exorcista,7,20,946,973
1281,Fella,fella,fella,7,22,42,71
533,Aroph,aroph,aroph,7,8,0,15
1910,Mitigatiua,mitigatiua,mitigatiua,7,11,36,54
1947,Mysi,mysi,mysi,7,65,48,120
1942,Muscilago,muscilago,muscilago,7,8,0,15
1856,Medium coeli,medium coeli,medius coelum,7,303,232,542
1395,Furnus acediae,furnus acediae,furnus acedia,7,1,0,8
1794,Magisterium principiorum,magisterium principiorum,magisterium principium,7,2,0,9
1772,Lutum magisterii,lutum magisterii,lutum magisterium,7,4,0,11
1733,Ligula,ligula,ligula,7,184,135,326
750,Calcatar,calcatar,calcatar,7,2,0,9
2611,Terra argenti,terra argenti,terra argentum,7,6,43,56
2558,Sulphur vnum,sulphur unum,sulphur unus,7,5,0,12
216,Aethna,aethna,aethna,7,42,67,116
1796,Magisterium qualitatis,magisterium qualitatis,magisterium qualitas,6,3,0,9
2532,Stomoma,stomoma,stomoma,6,27,7,40
2752,Vitriolum liquefactum,uitriolum liquefactum,uitriolum liquefacio,6,4,0,10
2697,Vas metallicum,uas metallicum,uas metallicus,6,14,1,21
2667,Transudatio,transudatio,transudatio,6,10,0,16
600,Aurum obrizum,aurum obrizum,aurum obrizus,6,4,72,82
977,Coagulum specificum,coagulum specificum,coagulum specificus,6,6,0,12
1527,Hydromantia,hydromantia,hydromantia,6,18,48,72
2683,Tubuli,tubuli,tubuli,6,219,15,240
1443,Gi,gi,gi,6,1455,203,1664
1188,Edelphus,edelphus,edelphus,6,4,0,10
2006,Oleum frumenti,oleum frumenti,oleum frumentum,6,6,13,25
209,Aes Hermetis,aes hermetis,aes hermes,6,7,0,13
58,Diphryges,diphryges,diphryges,6,39,14,59
648,Balsam,balsam,balsam,6,103,10,119
2003,Oleum destillatum,oleum destillatum,oleum destillao,6,18,4,28
2489,Sperniolum,sperniolum,sperniolum,6,6,0,12
2069,Parthenion,parthenion,parthenion,6,93,10,109
1437,Geographia,geographia,geographia,6,1243,247,1496
31,Pompholix,pompholix,pompholix,6,31,0,37
2778,Vulcanii,uulcanii,uulcanii,6,21,47,74
2799,Yxir,yxir,yxir,6,3,0,9
626,Azimar,azimar,azimar,6,5,0,11
2276,Sagimen vitri,sagimen uitri,sagimen uitrum,6,4,0,10
580,Atramentum viride,atramentum uiride,atramentum uiridis,6,7,0,13
1464,Gnomi,gnomi,gnomi,6,7,7,20
799,Calx Iouis,calx iouis,calx iuppiter,6,2,0,8
2523,Stibi,stibi,stibi,6,40,57,103
780,Calor artificialis,calor artificialis,calor artificialis,6,5,0,11
1840,Massalis,massalis,massalis,6,3,4,13
2511,Squinantia,squinantia,squinantia,6,24,16,46
1493,Halcyon,halcyon,halcyon,5,66,28,99
1851,Maturatiua,maturatiua,maturatiua,5,19,13,37
476,Aqua faecum,aqua faecum,aqua faex,5,2,4,11
1720,Leo rubeus,leo rubeus,leo rubeus,5,0,8,13
2484,Specular,specular,specular,5,61,48,114
808,Calx Veneris,calx ueneris,calx uenus,5,4,1,10
279,Alcolismus,alcolismus,alcolismus,5,4,0,9
229,Agar,agar,agar,5,34,1533,1572
1653,Laminae aereae,laminae aereae,lamina aereus,5,23,15,43
1744,Liquidum resolutum,liquidum resolutum,liquidus resoluo,5,3,2,10
2613,Terra Chia,terra chia,terra chia,5,16,0,21
1617,Kibric,kibric,kibric,5,9,0,14
1049,Coruscus,coruscus,coruscus,5,65,987,1057
2499,Spodos,spodos,spodos,5,80,22,107
1529,Hydropiper,hydropiper,hydropiper,5,84,1,90
1765,Lubricum,lubricum,lubricum,5,78,809,892
2393,Sedatiua,sedatiua,sedatiua,5,35,1,41
2391,Secur,secur,secur,5,37,31,73
2348,Sarda,sarda,sarda,5,228,67,300
1783,Macra,macra,macra,5,75,229,309
425,Amentum,amentum,amentum,5,100,132,237
44,Asseres,asseres,asseres,5,178,159,342
805,Calx Mercurii,calx mercurii,calx mercurius,5,6,0,11
855,Caseus praeparatus,caseus praeparatus,caseus praeparo,5,3,0,8
1973,Nitrum Alexandrinum,nitrum alexandrinum,nitrum alexandrinus,5,3,10,18
2199,Quinta essentia vegetabilium,quinta essentia uegetabilium,quintus essentia uegetabilis,5,2,0,7
341,Almager,almager,almager,5,8,1,14
762,Calcinatum maius,calcinatum maius,calcinatus magnus,5,0,0,5
428,Amidum,amidum,amidum,5,13,26,44
2253,Ron,ron,ron,5,439,26,470
2042,Orobo,orobo,orobo,5,39,2,46
1245,Ethel,ethel,ethel,5,6,13,24
2298,Sal lotii,sal lotii,sal lotium,5,3,0,8
356,Almizadir,almizadir,almizadir,5,7,0,12
638,Bacillum,bacillum,bacillum,5,163,123,291
1401,Furnus descensorius,furnus descensorius,furnus descensorius,5,2,0,7
2002,Oleum colcotharinum,oleum colcotharinum,oleum colcotharinus,5,4,0,9
746,Calamina,calamina,calamina,5,15,14,34
576,Atramentum album,atramentum album,atramentum albus,5,11,0,16
2089,Peucedanum,peucedanum,peucedanum,4,105,37,146
791,Calor simplex,calor simplex,calor simplex,4,2,0,6
273,Alchitram,alchitram,alchitram,4,2,0,6
355,Almisadir,almisadir,almisadir,4,2,0,6
1724,Leta,leta,leta,4,35,976,1015
775,Cali,cali,cali,4,404,24,432
1785,Madic,madic,madic,4,3,1,8
2426,Sericon,sericon,sericon,4,4,0,8
2146,Pressorium,pressorium,pressorium,4,24,23,51
2198,Quinta essentia mineralium,quinta essentia mineralium,quintus essentia mineralis,4,1,0,5
703,Bothor,bothor,bothor,4,17,10,31
2337,Sandix,sandix,sandix,4,45,30,79
1938,Murmentum,murmentum,murmentum,4,3,0,7
1935,Mumia transmarina,mumia transmarina,mumia transmarinus,4,5,0,9
901,Ceraunia,ceraunia,ceraunia,4,80,140,224
2242,Resolutio per medicinam,resolutio per medicinam,resolutio per medicina,4,2,0,6
1017,Congelatiua,congelatiua,congelatiua,4,4,2,10
1674,Lapidis sublimatio,lapidis sublimatio,lapis sublimatio,4,1,0,5
747,Calcadis,calcadis,calcadis,4,14,0,18
295,Alembroth,alembroth,alembroth,4,5,0,9
749,Calcata,calcata,calcata,4,30,626,660
405,Alumen rotundum,alumen rotundum,alumen rotundus,4,21,14,39
2586,Talc,talc,talc,4,15,7,26
594,Auripigmentum rubeum,auripigmentum rubeum,auripigmentum rubeus,4,11,1,16
35,Tigilla,tigilla,tigilla,4,76,6,86
1449,Giluus,giluus,giluus,4,178,51,233
198,Aerarii,aerarii,aerarii,4,142,488,634
1386,Fumus citrinus,fumus citrinus,fumus citrinus,4,2,0,6
128,Traha,traha,traha,4,40,786,830
2624,Terra Samia,terra samia,terra samius,4,59,17,80
2678,Trochlea,trochlea,trochlea,4,249,79,332
1314,Fiola,fiola,fiola,4,2,22,28
2585,Tal,tal,tal,4,250,563,817
2699,Vasa fusoria,uasa fusoria,uasa fusorius,4,2,0,6
62,Epipolasis,epipolasis,epipolasis,4,4,0,8
698,Boraco,boraco,boraco,4,2,8,14
1211,Elixir medicina,elixir medicina,elixir medicina,4,3,0,7
41,Aetites,aetites,aetites,4,114,23,141
43,Aseb,aseb,aseb,4,4,0,8
856,Caspa,caspa,caspa,4,10,3,17
1152,Dispoliare,dispoliare,dispoliare,4,2,7,13
1133,Destillatio per ascensum,destillatio per ascensum,destillatio per ascensus,4,3,2,9
72,Gagates lapis,gagates lapis,gagates lapis,4,30,16,50
1176,Duo Fratres,duo fratres,duo frater,4,69,1716,1789
1300,Ficus cutis,ficus cutis,ficus cutis,4,3,0,7
806,Calx Saturni,calx saturni,calx saturnus,4,7,0,11
2473,Sortilegium,sortilegium,sortilegium,4,12,45,61
527,Argentum populi,argentum populi,argentum populus,4,2,3,9
732,Caballi,caballi,caballi,4,33,115,152
2505,Spuma nitri,spuma nitri,spuma nitrum,4,94,41,139
1624,Kuhul,kuhul,kuhul,4,3,0,7
1685,Lapis aureus,lapis aureus,lapis aureus,4,8,6,18
597,Aurum coctum,aurum coctum,aurum coquo,4,5,3,12
1081,Cuprum rubeum,cuprum rubeum,cuprum rubeus,4,2,0,6
438,Anatrum,anatrum,anatrum,3,5,2,10
1299,Fibulae,fibulae,fibulae,3,149,62,214
595,Auripigmentum sublimatum,auripigmentum sublimatum,auripigmentum sublimatus,3,2,0,5
1309,Filius vnius,filius unius,filius unius,3,17,99,119
1256,Exitura,exitura,exitura,3,24,110,137
1220,Ematites,ematites,ematites,3,5,0,8
1090,Cynnabar,cynnabar,cynnabar,3,2,0,5
1801,Magisterium soni,magisterium soni,magisterium sonus,3,1,0,4
975,Coagulatio per comprehensionem,coagulatio per comprehensionem,coagulatio per comprehensio,3,2,0,5
678,Besonna,besonna,besonna,3,3,0,6
1752,Lithanthrax,lithanthrax,lithanthrax,3,15,3,21
1082,Curcuma,curcuma,curcuma,3,280,4,287
1986,Nymphidica,nymphidica,nymphidica,3,1,0,4
1701,Lapis rebis,lapis rebis,lapis reo,3,4,0,7
2014,Onyx,onyx,onyx,3,301,218,522
448,Anima Saturni,anima saturni,anima saturnus,3,3,0,6
1174,Dulcedo Saturni,dulcedo saturni,dulcedo saturnus,3,3,0,6
1141,Diasatyrion,diasatyrion,diasatyrion,3,11,0,14
1702,Lapis rebus,lapis rebus,lapis res,3,8,13,24
1178,Durdales,durdales,durdales,3,3,0,6
1687,Lapis calcis,lapis calcis,lapis calx,3,3,14,20
1689,Lapis de montanis,lapis de montanis,lapis de montanus,3,1,0,4
1746,Liquor essentialis,liquor essentialis,liquor essentialis,3,4,0,7
1760,Lorindt,lorindt,lorindt,3,2,0,5
1048,Cortex maris,cortex maris,cortex mare,3,4,0,7
1532,Iassa,iassa,iassa,3,0,15,18
964,Clareta,clareta,clareta,3,7,4,14
473,Aqua coelestina,aqua coelestina,aqua coelestinus,3,7,0,10
1053,Creta argentaria,creta argentaria,creta argentarius,3,5,23,31
474,Aqua corrodens,aqua corrodens,aqua corrodo,3,7,0,10
1404,Furnus reuerberatorius,furnus reuerberatorius,furnus reuerberatorius,3,2,0,5
1113,Deliquium embapticum,deliquium embapticum,deliquium embapticus,3,2,0,5
1020,Conseruantia,conseruantia,conseruantia,3,15,8,26
1102,Daura,daura,daura,3,6,8,17
668,Baurach,baurach,baurach,3,61,0,64
460,Anticar,anticar,anticar,3,4,0,7
1879,Mercurius corallinus,mercurius corallinus,mercurius corallinus,3,4,0,7
1881,Mercurius crystallinus,mercurius crystallinus,mercurius crystallinus,3,3,0,6
577,Atramentum citrinum,atramentum citrinum,atramentum citrinus,3,10,0,13
1862,Melaones,melaones,melaones,3,3,0,6
1789,Magisterium coloris,magisterium coloris,magisterium color,3,1,0,4
1610,Karabe,karabe,karabe,3,85,0,88
1913,Mola matricis,mola matricis,mola matrix,3,5,0,8
1312,Filum arsenicale,filum arsenicale,filum arsenicalis,3,4,0,7
1323,Flegmon,flegmon,flegmon,3,6,8,17
1279,Fel draconis,fel draconis,fel draco,3,14,59,76
760,Calcinatio specialis,calcinatio specialis,calcinatio specialis,3,2,0,5
468,Aphronitrum,aphronitrum,aphronitrum,3,135,54,192
2742,Viriditas salis,uiriditas salis,uiriditas sal,3,4,0,7
2702,Vectores,uectores,uectores,3,32,70,105
2756,Vitrum nigrum,uitrum nigrum,uitrum niger,3,3,2,8
292,Alembic,alembic,alembic,3,9,2,14
2710,Vena vsta,uena usta,uena ustus,3,3,0,6
2661,Topazion,topazion,topazion,3,19,348,370
2656,Tinkar,tinkar,tinkar,3,4,0,7
2672,Trifertes,trifertes,trifertes,3,3,0,6
2300,Sal Mercurii,sal mercurii,sal mercurius,3,7,0,10
2679,Tronus,tronus,tronus,3,15,94,112
2292,Sal ex herbarum,sal ex herbarum,sal ex herba,3,3,0,6
2293,Sal factitium,sal factitium,sal factitium,3,12,0,15
2622,Terra Hispanica,terra hispanica,terra hispanicus,3,6,0,9
2284,Sal anathron,sal anathron,sal anathros,3,4,0,7
2317,Sal vitri,sal uitri,sal uitrum,3,15,4,22
2236,Res fossilis,res fossilis,res fossilis,3,80,0,83
2608,Terebintina,terebintina,terebintina,3,6,10,19
210,Aes liquefactum,aes liquefactum,aes liquefacio,3,8,2,13
34,Rutrum,rutrum,rutrum,3,115,28,146
2389,Secernere metalla,secernere metalla,secerno metallum,3,2,1,6
